KO,growth
TPP1,0.0021291
TPS2,0.0142607
TRE1,-0.0710831
TRF5,-0.0034468
TRI1,0.1078521
TRX1,0.0196443
TUB3,0.1913779
TUL1,0.0337206
TWF1,0.0463
TYE7,0.032631
UAF30,0.6009261
UBC11,0.0096502
UBC12,0.0429263
UBC4,0.2304522
UBC5,-0.0143078
UBC7,-0.0730018
UBC8,-0.0830206
UBI4,0.0
UBP1,-0.0699343
UBP11,0.0044322
UBP13,-0.0045155
UBP14,0.0574503
UBP15,0.146
UBP16,-0.037
UBP2,-0.0275683
UBP3,0.2500817
UBP5,-0.0843374
UBP6,0.0703893
UBP7,-0.0268833
UBP8,0.0903323
UBP9,-0.031413
UBR1,0.005
UBS1,0.0561828
UBX2,0.3660381
UBX3,0.0049323
UBX4,-0.0249176
UBX5,0.029344
UBX6,-0.0605415
UFD2,0.1259089
UFD4,-0.03
UFO1,0.0509512
UGA1,-0.0028247
UGA3,0.0807525
UIP4,-0.0329504
ULA1,0.009748
UME1,0.0079949
UPC2,-0.0140086
UPF3,0.0955664
URC2,0.0878806
URM1,0.1848092
URN1,0.1303966
USV1,-0.0375505
UTP30,0.0425078
VAC8,0.044216
VHR1,0.0573939
VHS1,-0.0332
VID24,-0.031413
VID28,0.0787541
VID30,-0.0288549
VIK1,-0.012968
VPS1,0.0366815
VPS13,0.0608289
VPS4,0.197573
VPS71,0.2263921
VPS72,0.1644382
VPS75,0.2189442
WAR1,0.1143005
WSS1,0.1035764
WTM1,0.0017629
WTM2,0.0258361
XBP1,0.1331941
YAF9,0.2805795
YAK1,-0.0153
YAP3,-0.106814
YAP5,-0.0682366
YAP6,-0.0122652
YAP7,-0.0621435
YAT1,-0.0167332
YBP2,0.0279435
YBT1,-0.0077546
YCK1,0.0234
YCK2,-0.0051
YCK3,0.3102
YHB1,-0.0950347
YHP1,-0.0454441
YKU80,0.0225074
YLH47,-0.1234581
YME2,0.102653
YNG1,-0.0149825
YNK1,0.0673994
YOS9,-0.0460964
YOX1,0.1367819
YPK1,0.3925
YPK2,-0.0208
YPS1,0.0050947
YPT31,-0.0083801
YPT6,0.2377915
YPT7,-0.1748084
YRA2,0.0425174
YRM1,0.0130563
YRR1,0.02
YTA7,0.2122807
YUH1,0.0369942
YVH1,0.937
ZDS1,0.03
ZDS2,0.0182874
ZIP1,-0.0717907
